,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level,Customer_ID
951,22,59,7792.36,3,3,4,334,10,BIG SPENDER,13629.0
952,4,71,2031.7800000000002,4,3,4,434,11,BIG SPENDER,13630.0
953,99,11,3070.42,2,1,4,214,7,BIG SPENDER,13631.0
954,24,146,2121.27,3,4,4,344,11,BIG SPENDER,13632.0
955,32,188,1575.1600000000003,3,4,4,344,11,BIG SPENDER,13634.0
956,67,62,1071.0300000000002,2,3,3,233,8,REGULARS,13635.0
957,36,63,949.1199999999999,3,3,3,333,9,REGULARS,13636.0
958,51,101,810.4999999999998,3,4,3,343,10,LOYAL,13637.0
959,15,8,122.64000000000001,4,1,1,411,6,NEW,13638.0
960,73,40,1033.3400000000001,2,2,3,223,7,REGULARS,13639.0
961,215,66,354.7999999999999,1,3,2,132,6,LOST,13642.0
962,30,28,519.44,3,2,2,322,7,REGULARS,13643.0
963,15,146,2624.260000000001,4,4,4,444,12,STARS,13644.0
964,119,5,252.1,2,1,1,211,4,LIGHT,13645.0
965,9,79,1678.1200000000001,4,3,4,434,11,BIG SPENDER,13647.0
966,256,23,346.6000000000001,1,2,2,122,5,LOST,13649.0
967,16,96,1836.34,4,3,4,434,11,BIG SPENDER,13650.0
968,34,6,94.2,3,1,1,311,5,LIGHT,13651.0
969,45,63,1095.08,3,3,3,333,9,REGULARS,13652.0
970,42,166,2707.329999999999,3,4,4,344,11,BIG SPENDER,13654.0
971,113,56,932.9700000000004,2,3,3,233,8,REGULARS,13655.0
972,164,49,379.65000000000003,1,3,2,132,6,LOST,13656.0
973,10,16,382.13999999999993,4,1,2,412,7,ACTIVE,13657.0
974,9,108,2639.1700000000037,4,4,4,444,12,STARS,13658.0
975,205,104,1573.2000000000007,1,4,4,144,9,BIG SPENDER,13659.0
976,85,53,897.7600000000001,2,3,3,233,8,REGULARS,13662.0
977,178,13,189.47,1,1,1,111,3,LOST,13663.0
978,59,12,84.65000000000002,2,1,1,211,4,LIGHT,13666.0
979,148,87,305.0199999999998,1,3,2,132,6,LOST,13667.0
980,2,470,6363.589999999984,4,4,4,444,12,STARS,13668.0
981,50,9,218.55,3,1,1,311,5,LIGHT,13669.0
982,74,25,349.70000000000016,2,2,2,222,6,REGULARS,13670.0
983,300,6,186.39,1,1,1,111,3,LOST,13672.0
984,18,65,396.9199999999999,3,3,2,332,8,REGULARS,13673.0
985,150,25,486.82000000000005,1,2,2,122,5,LOST,13675.0
986,151,16,232.60000000000005,1,1,1,111,3,LOST,13678.0
987,0,195,3722.4200000000014,4,4,4,444,12,STARS,13680.0
988,17,57,827.83,4,3,3,433,10,ACTIVE,13681.0
989,186,3,59.5,1,1,1,111,3,LOST,13682.0
990,285,30,67.23000000000002,1,2,1,121,4,LOST,13684.0
991,2,39,3119.4400000000014,4,2,4,424,10,BIG SPENDER,13685.0
992,182,8,72.0,1,1,1,111,3,LOST,13686.0
993,62,6,910.0,2,1,3,213,6,REGULARS,13689.0
994,58,9,172.25,2,1,1,211,4,LIGHT,13690.0
995,24,53,1488.3200000000004,3,3,3,333,9,REGULARS,13692.0
997,30,90,2504.1299999999987,3,3,4,334,10,BIG SPENDER,13695.0
998,38,12,151.3,3,1,1,311,5,LIGHT,13697.0
999,154,14,308.58,1,1,2,112,4,LOST,13699.0
1000,25,197,2265.119999999999,3,4,4,344,11,BIG SPENDER,13700.0
1001,317,1,99.5,1,1,1,111,3,LOST,13703.0
1002,4,134,2308.0599999999986,4,4,4,444,12,STARS,13704.0
1003,7,28,711.8600000000001,4,2,3,423,9,ACTIVE,13705.0
1004,302,20,330.78999999999996,1,2,2,122,5,LOST,13706.0
1005,266,48,806.4100000000004,1,3,3,133,7,LOST,13707.0
1006,270,51,296.87999999999994,1,3,1,131,5,LOST,13708.0
1007,3,336,6328.050000000004,4,4,4,444,12,STARS,13709.0
1008,31,8,180.48000000000002,3,1,1,311,5,LIGHT,13710.0
1009,218,13,252.06000000000003,1,1,1,111,3,LOST,13711.0
1010,246,10,228.83999999999997,1,1,1,111,3,LOST,13712.0
1011,280,105,1079.3399999999997,1,4,3,143,8,LOYAL,13715.0
1012,268,21,138.28,1,2,1,121,4,LOST,13716.0
1013,31,102,1445.0100000000002,3,4,3,343,10,LOYAL,13717.0
1014,245,12,306.55,1,1,2,112,4,LOST,13718.0
1015,14,60,1041.68,4,3,3,433,10,ACTIVE,13719.0
1016,116,43,799.8999999999999,2,3,3,233,8,REGULARS,13720.0
1017,35,28,524.14,3,2,2,322,7,REGULARS,13721.0
1018,131,85,2375.4100000000008,2,3,4,234,9,BIG SPENDER,13722.0
1019,216,6,199.85000000000002,1,1,1,111,3,LOST,13723.0
1020,49,104,1980.5600000000004,3,4,4,344,11,BIG SPENDER,13725.0
1021,38,42,1079.6600000000003,3,3,3,333,9,REGULARS,13726.0
1022,28,20,333.4800000000001,3,2,2,322,7,REGULARS,13727.0
1023,36,63,1016.1399999999999,3,3,3,333,9,REGULARS,13728.0
1024,135,43,752.5999999999998,2,3,3,233,8,REGULARS,13730.0
1025,218,38,610.5899999999999,1,2,2,122,5,LOST,13731.0
1026,27,33,491.86,3,2,2,322,7,REGULARS,13732.0
1027,24,196,2885.2399999999975,3,4,4,344,11,BIG SPENDER,13735.0
1028,4,191,731.8999999999999,4,4,3,443,11,LOYAL,13736.0
1029,199,30,339.59999999999997,1,2,2,122,5,LOST,13737.0
1030,17,3,216.9,4,1,1,411,6,NEW,13739.0
1031,240,23,350.75,1,2,2,122,5,LOST,13740.0
1032,71,34,668.43,2,2,3,223,7,REGULARS,13741.0
1033,16,321,3131.020000000001,4,4,4,444,12,STARS,13742.0
1034,2,41,1341.5999999999997,4,3,3,433,10,ACTIVE,13743.0
1035,94,72,1156.36,2,3,3,233,8,REGULARS,13744.0
1036,161,25,300.03999999999996,1,2,1,121,4,LOST,13745.0
1037,373,1,79.6,1,1,1,111,3,LOST,13747.0
1038,95,28,948.2499999999998,2,2,3,223,7,REGULARS,13748.0
1039,53,24,1647.2599999999998,2,2,4,224,8,BIG SPENDER,13750.0
1040,287,9,296.24999999999994,1,1,1,111,3,LOST,13751.0
1041,123,76,1186.2800000000002,2,3,3,233,8,REGULARS,13752.0
1042,287,35,741.26,1,2,3,123,6,LOST,13753.0
1043,151,12,282.6,1,1,1,111,3,LOST,13754.0
1044,3,342,2161.3500000000013,4,4,4,444,12,STARS,13755.0
1045,1,142,5189.519999999995,4,4,4,444,12,STARS,13756.0
1046,11,117,3190.550000000001,4,4,4,444,12,STARS,13758.0
1047,32,25,659.41,3,2,3,323,8,REGULARS,13759.0
1048,53,57,286.78999999999996,2,3,1,231,6,LIGHT,13760.0
1049,49,70,1070.65,3,3,3,333,9,REGULARS,13761.0
1050,218,7,306.72,1,1,2,112,4,LOST,13762.0
1051,62,15,1714.9599999999998,2,1,4,214,7,BIG SPENDER,13763.0
1052,70,208,1521.7600000000002,2,4,3,243,9,LOYAL,13764.0
1054,1,135,2796.5099999999993,4,4,4,444,12,STARS,13769.0
1055,63,119,2634.450000000001,2,4,4,244,10,BIG SPENDER,13771.0
1056,33,177,1132.13,3,4,3,343,10,LOYAL,13772.0
1057,81,22,344.99999999999994,2,2,2,222,6,REGULARS,13774.0
1059,102,9,178.7,2,1,1,211,4,LIGHT,13778.0
1060,6,57,360.01,4,3,2,432,9,ACTIVE,13780.0
1061,250,17,127.84000000000002,1,1,1,111,3,LOST,13781.0
1062,12,115,911.9999999999992,4,4,3,443,11,LOYAL,13782.0
1063,9,31,2462.7899999999995,4,2,4,424,10,BIG SPENDER,13784.0
1064,366,7,230.4,1,1,1,111,3,LOST,13786.0
1065,75,31,309.04,2,2,2,222,6,REGULARS,13787.0
1066,3,45,348.79999999999995,4,3,2,432,9,ACTIVE,13790.0
1067,127,11,1516.0,2,1,3,213,6,REGULARS,13791.0
1068,65,13,195.54999999999995,2,1,1,211,4,LIGHT,13792.0
1070,116,39,688.8600000000002,2,2,3,223,7,REGULARS,13799.0
1071,309,33,558.3199999999997,1,2,2,122,5,LOST,13800.0
1072,66,23,324.79999999999995,2,2,2,222,6,REGULARS,13801.0
1073,138,60,4599.420000000001,2,3,4,234,9,BIG SPENDER,13802.0
1074,254,17,277.07000000000005,1,1,1,111,3,LOST,13803.0
1075,30,137,2635.7900000000004,3,4,4,344,11,BIG SPENDER,13804.0
1076,51,13,924.5999999999999,3,1,3,313,7,REGULARS,13805.0
1077,63,10,256.38,2,1,1,211,4,LIGHT,13806.0
1078,366,7,112.6,1,1,1,111,3,LOST,13807.0
1079,5,76,1747.66,4,3,4,434,11,BIG SPENDER,13808.0
1080,304,12,155.05,1,1,1,111,3,LOST,13809.0
1081,28,35,1499.01,3,2,3,323,8,REGULARS,13810.0
1082,183,13,814.5,1,1,3,113,5,LOST,13811.0
1083,41,36,538.9999999999999,3,2,2,322,7,REGULARS,13812.0
1084,39,69,1366.8599999999994,3,3,3,333,9,REGULARS,13813.0
1085,91,57,1579.1200000000001,2,3,4,234,9,BIG SPENDER,13814.0
1086,21,176,4027.3599999999983,3,4,4,344,11,BIG SPENDER,13815.0
1087,23,28,571.6700000000001,3,2,2,322,7,REGULARS,13816.0
1088,28,24,382.9799999999999,3,2,2,322,7,REGULARS,13817.0
1089,301,36,1140.35,1,2,3,123,6,LOST,13819.0
1090,144,59,385.64,2,3,2,232,7,REGULARS,13821.0
1091,5,96,632.0000000000001,4,3,2,432,9,ACTIVE,13822.0
1092,18,40,957.6600000000001,3,2,3,323,8,REGULARS,13823.0
1093,32,46,1698.9399999999998,3,3,4,334,10,BIG SPENDER,13824.0
1094,175,10,189.5,1,1,1,111,3,LOST,13826.0
1095,57,93,412.0499999999998,2,3,2,232,7,REGULARS,13827.0
1096,21,15,209.49000000000004,3,1,1,311,5,LIGHT,13828.0
1097,15,74,2202.99,4,3,4,434,11,BIG SPENDER,13831.0
1098,18,3,52.199999999999996,3,1,1,311,5,LIGHT,13832.0
1099,158,29,384.7999999999999,1,2,2,122,5,LOST,13833.0
1100,24,55,834.57,3,3,3,333,9,REGULARS,13835.0
1101,211,19,271.24000000000007,1,2,1,121,4,LOST,13837.0
1102,5,174,691.7299999999999,4,4,3,443,11,LOYAL,13838.0
1103,252,1,85.0,1,1,1,111,3,LOST,13841.0
1104,58,206,3385.619999999999,2,4,4,244,10,BIG SPENDER,13842.0
1105,10,20,361.62,4,2,2,422,8,ACTIVE,13844.0
1106,64,9,312.98,2,1,2,212,5,REGULARS,13845.0
1107,24,55,865.0600000000005,3,3,3,333,9,REGULARS,13846.0
1108,91,5,1255.0,2,1,3,213,6,REGULARS,13848.0
1109,51,101,1537.95,3,4,3,343,10,LOYAL,13849.0
1110,128,93,1595.4799999999996,2,3,4,234,9,BIG SPENDER,13850.0
1111,95,81,2651.46,2,3,4,234,9,BIG SPENDER,13851.0
1112,56,23,1090.14,2,2,3,223,7,REGULARS,13853.0
1113,8,110,8109.5199999999995,4,4,4,444,12,STARS,13854.0
1114,168,14,388.5,1,1,2,112,4,LOST,13856.0
1115,56,11,216.16999999999996,2,1,1,211,4,LIGHT,13858.0
1116,325,28,201.16,1,2,1,121,4,LOST,13859.0
1117,0,76,1245.9000000000003,4,3,3,433,10,ACTIVE,13860.0
1118,17,139,2209.360000000001,4,4,4,444,12,STARS,13862.0
1119,247,20,305.78000000000003,1,2,2,122,5,LOST,13863.0
1120,57,30,501.56,2,2,2,222,6,REGULARS,13865.0
1121,73,7,145.67,2,1,1,211,4,LIGHT,13866.0
1122,30,61,1015.2900000000002,3,3,3,333,9,REGULARS,13867.0
1123,6,33,3192.54,4,2,4,424,10,BIG SPENDER,13868.0
1124,122,307,3104.9500000000035,2,4,4,244,10,BIG SPENDER,13869.0
1125,1,115,2770.9400000000005,4,4,4,444,12,STARS,13870.0
1126,22,336,6403.250000000004,3,4,4,344,11,BIG SPENDER,13871.0
1127,119,23,389.6,2,2,2,222,6,REGULARS,13873.0
1128,357,18,540.45,1,2,2,122,5,LOST,13874.0
1129,53,104,1786.7900000000004,2,4,4,244,10,BIG SPENDER,13875.0
1130,63,7,122.69999999999999,2,1,1,211,4,LIGHT,13876.0
1131,85,3,117.24000000000001,2,1,1,211,4,LIGHT,13877.0
1132,54,36,1281.53,2,2,3,223,7,REGULARS,13878.0
1133,20,165,3219.7700000000004,3,4,4,344,11,BIG SPENDER,13880.0
1135,2,65,1191.1299999999999,4,3,3,433,10,ACTIVE,13882.0
1136,10,142,2674.479999999998,4,4,4,444,12,STARS,13883.0
1137,6,59,787.6000000000001,4,3,3,433,10,ACTIVE,13884.0
1138,188,28,506.8000000000001,1,2,2,122,5,LOST,13885.0
1139,70,16,243.56000000000003,2,1,1,211,4,LIGHT,13886.0
1140,203,19,349.54999999999995,1,2,2,122,5,LOST,13887.0
1141,119,40,605.63,2,2,2,222,6,REGULARS,13888.0
1142,92,15,416.9,2,1,2,212,5,REGULARS,13889.0
1143,0,110,1883.8099999999995,4,4,4,444,12,STARS,13890.0
1144,26,27,632.97,3,2,2,322,7,REGULARS,13892.0
1145,297,21,821.1,1,2,3,123,6,LOST,13893.0
1146,23,27,564.62,3,2,2,322,7,REGULARS,13894.0
1147,27,118,2593.0699999999993,3,4,4,344,11,BIG SPENDER,13895.0
1148,49,17,311.15999999999997,3,2,2,322,7,REGULARS,13897.0
1149,325,12,155.93,1,1,1,111,3,LOST,13898.0
1150,15,19,388.52000000000004,4,2,2,422,8,ACTIVE,13899.0
1151,182,43,740.9499999999997,1,3,3,133,7,LOST,13900.0
1152,71,149,2867.2,2,4,4,244,10,BIG SPENDER,13901.0
1153,36,26,332.63999999999993,3,2,2,322,7,REGULARS,13904.0
1154,79,122,2369.5499999999984,2,4,4,244,10,BIG SPENDER,13908.0
1155,56,148,2580.909999999999,2,4,4,244,10,BIG SPENDER,13911.0
1156,11,33,626.4499999999999,4,2,2,422,8,ACTIVE,13914.0
1157,49,18,272.04,3,2,1,321,6,LIGHT,13917.0
1158,49,30,1212.8400000000001,3,2,3,323,8,REGULARS,13918.0
1159,58,28,384.81,2,2,2,222,6,REGULARS,13919.0
1160,351,7,172.24999999999997,1,1,1,111,3,LOST,13922.0
1161,53,20,351.13000000000005,2,2,2,222,6,REGULARS,13923.0
1162,1,117,1838.8500000000001,4,4,4,444,12,STARS,13924.0
1163,92,41,678.2499999999999,2,3,3,233,8,REGULARS,13925.0
1164,22,11,223.85000000000002,3,1,1,311,5,LIGHT,13926.0
1165,74,21,348.99,2,2,2,222,6,REGULARS,13927.0
1166,10,27,464.56999999999994,4,2,2,422,8,ACTIVE,13928.0
1167,168,9,842.6500000000001,1,1,3,113,5,LOST,13929.0
1168,57,17,337.3399999999999,2,2,2,222,6,REGULARS,13930.0
1169,95,58,1237.5300000000002,2,3,3,233,8,REGULARS,13931.0
1170,294,16,307.4,1,1,2,112,4,LOST,13932.0
1171,108,23,608.7899999999998,2,2,2,222,6,REGULARS,13933.0
1172,263,31,922.0999999999997,1,2,3,123,6,LOST,13934.0
1173,179,26,376.58,1,2,2,122,5,LOST,13936.0
1174,168,9,158.85,1,1,1,111,3,LOST,13937.0
1175,34,7,71.66,3,1,1,311,5,LIGHT,13938.0
1176,22,45,568.5499999999998,3,3,2,332,8,REGULARS,13939.0
1177,16,49,839.1400000000002,4,3,3,433,10,ACTIVE,13940.0
1178,21,45,5112.96,3,3,4,334,10,BIG SPENDER,13941.0
1179,78,11,561.57,2,1,2,212,5,REGULARS,13946.0
1180,64,5,90.6,2,1,1,211,4,LIGHT,13947.0
1181,360,3,101.99999999999999,1,1,1,111,3,LOST,13948.0
1182,2,160,2427.3199999999974,4,4,4,444,12,STARS,13949.0
1183,10,35,745.0600000000001,4,2,3,423,9,ACTIVE,13950.0
1184,175,39,674.4499999999998,1,2,3,123,6,LOST,13951.0
1185,217,137,3251.071,1,4,4,144,9,BIG SPENDER,13952.0
1186,6,20,3515.6800000000003,4,2,4,424,10,BIG SPENDER,13953.0
1187,1,25,439.92,4,2,2,422,8,ACTIVE,13954.0
1188,153,33,322.96,1,2,2,122,5,LOST,13955.0
1189,4,152,1026.4200000000003,4,4,3,443,11,LOYAL,13956.0
1190,78,92,598.1999999999999,2,3,2,232,7,REGULARS,13959.0
1191,20,12,230.22,3,1,1,311,5,LIGHT,13960.0
1192,21,11,169.55,3,1,1,311,5,LIGHT,13962.0
1193,307,35,664.54,1,2,3,123,6,LOST,13963.0
1194,145,2,80.7,1,1,1,111,3,LOST,13967.0
1195,6,626,9053.940000000002,4,4,4,444,12,STARS,13969.0
1196,18,149,2758.26,3,4,4,344,11,BIG SPENDER,13971.0
1197,70,15,190.25000000000009,2,1,1,211,4,LIGHT,13972.0
1198,286,11,264.7,1,1,1,111,3,LOST,13973.0
1199,48,28,413.59,3,2,2,322,7,REGULARS,13974.0
1200,30,338,2526.2799999999993,3,4,4,344,11,BIG SPENDER,13975.0
1201,206,10,357.9800000000001,1,1,2,112,4,LOST,13976.0
1202,14,15,196.79,4,1,1,411,6,NEW,13978.0
1203,72,54,869.8700000000001,2,3,3,233,8,REGULARS,13979.0
1204,59,11,200.14000000000001,2,1,1,211,4,LIGHT,13980.0
1205,38,111,1871.81,3,4,4,344,11,BIG SPENDER,13982.0
1206,29,107,2603.43,3,4,4,344,11,BIG SPENDER,13983.0
1207,26,16,920.5100000000001,3,1,3,313,7,REGULARS,13984.0
1208,3,349,7060.130000000006,4,4,4,444,12,STARS,13985.0
1209,16,13,320.46000000000004,4,1,2,412,7,ACTIVE,13986.0
1210,19,234,4147.960000000001,3,4,4,344,11,BIG SPENDER,13988.0
1211,65,41,1266.0799999999997,2,3,3,233,8,REGULARS,13989.0
1212,212,16,311.3,1,1,2,112,4,LOST,13990.0
1213,11,84,855.9699999999999,4,3,3,433,10,ACTIVE,13991.0
1214,29,5,76.8,3,1,1,311,5,LIGHT,13992.0
1215,42,121,3466.36,3,4,4,344,11,BIG SPENDER,13993.0
1216,3,155,2313.140000000001,4,4,4,444,12,STARS,13994.0
1217,14,86,1393.6899999999996,4,3,3,433,10,ACTIVE,13995.0
1218,9,208,3901.8100000000036,4,4,4,444,12,STARS,13999.0
1219,210,15,635.6600000000001,1,1,2,112,4,LOST,14000.0
1220,45,39,2043.08,3,2,4,324,9,BIG SPENDER,14001.0
1221,133,47,529.73,2,3,2,232,7,REGULARS,14002.0
1222,42,171,4582.639999999999,3,4,4,344,11,BIG SPENDER,14004.0
1223,9,84,2874.7200000000007,4,3,4,434,11,BIG SPENDER,14005.0
1224,115,30,962.1899999999999,2,2,3,223,7,REGULARS,14006.0
1225,197,42,695.6099999999999,1,3,3,133,7,LOST,14009.0
1226,277,11,328.8,1,1,2,112,4,LOST,14012.0
1227,109,34,473.02,2,2,2,222,6,REGULARS,14013.0
1228,76,39,505.18000000000006,2,2,2,222,6,REGULARS,14014.0
1229,52,20,917.34,2,2,3,223,7,REGULARS,14015.0
1230,161,161,4341.21,1,4,4,144,9,BIG SPENDER,14016.0
1231,46,66,1421.6100000000004,3,3,3,333,9,REGULARS,14019.0
1232,16,39,642.8000000000001,4,2,2,422,8,ACTIVE,14020.0
1233,154,22,631.9000000000001,1,2,2,122,5,LOST,14021.0
1234,224,28,440.0,1,2,2,122,5,LOST,14022.0
1235,6,31,584.0699999999998,4,2,2,422,8,ACTIVE,14023.0
1236,121,16,327.7,2,1,2,212,5,REGULARS,14024.0
1237,60,6,104.82000000000002,2,1,1,211,4,LIGHT,14027.0
1238,62,15,467.65999999999997,2,1,2,212,5,REGULARS,14029.0
1239,17,243,2360.0899999999997,4,4,4,444,12,STARS,14030.0
1241,1,143,2975.5900000000006,4,4,4,444,12,STARS,14032.0
1242,21,89,651.8200000000002,3,3,2,332,8,REGULARS,14034.0
1243,28,66,1428.0200000000002,3,3,3,333,9,REGULARS,14035.0
1244,284,38,626.6499999999999,1,2,2,122,5,LOST,14036.0
1245,175,28,147.20000000000005,1,2,1,121,4,LOST,14037.0
1246,77,92,1560.379999999999,2,3,3,233,8,REGULARS,14038.0
1247,32,6,152.2,3,1,1,311,5,LIGHT,14039.0
1248,40,235,3614.9199999999996,3,4,4,344,11,BIG SPENDER,14040.0
1249,265,21,141.41,1,2,1,121,4,LOST,14041.0
1250,26,209,652.8199999999993,3,4,2,342,9,LOYAL,14044.0
1251,108,6,1659.75,2,1,4,214,7,BIG SPENDER,14045.0
1252,283,14,154.98999999999998,1,1,1,111,3,LOST,14046.0
1253,8,32,1308.61,4,2,3,423,9,ACTIVE,14047.0
1254,304,85,409.9299999999999,1,3,2,132,6,LOST,14048.0
1255,16,488,5681.719999999997,4,4,4,444,12,STARS,14049.0
1256,31,54,746.3600000000001,3,3,3,333,9,REGULARS,14050.0
1258,19,56,225.35999999999993,3,3,1,331,7,LIGHT,14052.0
1259,123,4,260.25,2,1,1,211,4,LIGHT,14053.0
1260,64,6,92.46,2,1,1,211,4,LIGHT,14054.0
1261,105,10,725.6400000000001,2,1,3,213,6,REGULARS,14055.0
1263,23,284,6217.960000000002,3,4,4,344,11,BIG SPENDER,14057.0
1264,266,8,183.59999999999997,1,1,1,111,3,LOST,14059.0
1265,4,202,6140.419999999998,4,4,4,444,12,STARS,14060.0
1266,9,111,10464.85,4,4,4,444,12,STARS,14062.0
1267,28,80,1353.7400000000002,3,3,3,333,9,REGULARS,14064.0
1268,266,7,152.55,1,1,1,111,3,LOST,14066.0
1269,63,52,374.69999999999993,2,3,2,232,7,REGULARS,14067.0
1270,319,24,265.85,1,2,1,121,4,LOST,14068.0
1271,3,324,1438.820000000003,4,4,3,443,11,LOYAL,14071.0
1272,31,13,151.04,3,1,1,311,5,LIGHT,14073.0
1273,4,43,942.2599999999998,4,3,3,433,10,ACTIVE,14075.0
1274,128,46,122.46999999999997,2,3,1,231,6,LIGHT,14076.0
1275,40,42,499.41999999999996,3,3,2,332,8,REGULARS,14077.0
1276,101,65,1049.3700000000003,2,3,3,233,8,REGULARS,14078.0
1277,124,12,375.09999999999997,2,1,2,212,5,REGULARS,14079.0
1278,32,4,45.599999999999994,3,1,1,311,5,LIGHT,14080.0
1279,301,153,934.5200000000001,1,4,3,143,8,LOYAL,14081.0
1280,364,29,182.24999999999997,1,2,1,121,4,LOST,14082.0
1281,3,181,1018.4299999999998,4,4,3,443,11,LOYAL,14083.0
1282,1,450,4448.539999999997,4,4,4,444,12,STARS,14085.0
1283,2,69,194.42,4,3,1,431,8,ACTIVE,14087.0
1285,56,14,161.0,2,1,1,211,4,LIGHT,14089.0
1286,324,1,76.32000000000001,1,1,1,111,3,LOST,14090.0
1287,7,214,4076.910000000003,4,4,4,444,12,STARS,14092.0
1288,11,105,442.8499999999999,4,4,2,442,10,LOYAL,14093.0
1290,36,21,147.34999999999997,3,2,1,321,6,LIGHT,14098.0
1291,15,250,3104.1700000000005,4,4,4,444,12,STARS,14099.0
1292,137,26,194.9,2,2,1,221,5,LIGHT,14100.0
1293,73,35,5976.79,2,2,4,224,8,BIG SPENDER,14101.0
1294,4,79,1360.2800000000002,4,3,3,433,10,ACTIVE,14102.0
1295,154,21,216.20999999999998,1,2,1,121,4,LOST,14104.0
1296,238,74,1266.2300000000002,1,3,3,133,7,LOST,14105.0
1297,51,123,2703.23,3,4,4,344,11,BIG SPENDER,14107.0
1298,30,34,597.9100000000001,3,2,2,322,7,REGULARS,14108.0
1299,72,9,144.2,2,1,1,211,4,LIGHT,14109.0
1300,3,155,5683.149999999999,4,4,4,444,12,STARS,14110.0
1301,13,10,692.85,4,1,3,413,8,ACTIVE,14111.0
1302,22,160,2915.1499999999974,3,4,4,344,11,BIG SPENDER,14112.0
1303,3,34,1840.4200000000005,4,2,4,424,10,BIG SPENDER,14113.0
1304,273,15,386.53,1,1,2,112,4,LOST,14114.0
1305,19,72,1382.7400000000002,3,3,3,333,9,REGULARS,14116.0
1306,143,3,90.0,2,1,1,211,4,LIGHT,14117.0
1307,3,159,2780.1499999999996,4,4,4,444,12,STARS,14121.0
1308,83,5,419.58000000000004,2,1,2,212,5,REGULARS,14124.0
1309,10,167,2740.4300000000017,4,4,4,444,12,STARS,14125.0
1310,7,15,706.1300000000001,4,1,3,413,8,ACTIVE,14126.0
1311,122,44,709.7099999999996,2,3,3,233,8,REGULARS,14127.0
1312,60,46,637.5000000000001,2,3,2,232,7,REGULARS,14128.0
1313,1,52,1123.86,4,3,3,433,10,ACTIVE,14129.0
1314,318,67,483.85999999999996,1,3,2,132,6,LOST,14130.0
1315,1,200,3586.030000000001,4,4,4,444,12,STARS,14132.0
1316,129,28,605.6399999999999,2,2,2,222,6,REGULARS,14133.0
1317,1,134,4690.31,4,4,4,444,12,STARS,14135.0
1318,1,47,982.3800000000005,4,3,3,433,10,ACTIVE,14138.0
1319,45,26,415.81999999999994,3,2,2,322,7,REGULARS,14139.0
1320,3,66,935.0499999999996,4,3,3,433,10,ACTIVE,14140.0
1321,2,40,915.1300000000002,4,2,3,423,9,ACTIVE,14141.0
1322,372,22,311.81000000000006,1,2,2,122,5,LOST,14142.0
1323,133,7,115.8,2,1,1,211,4,LIGHT,14143.0
1324,46,11,3742.2,3,1,4,314,8,BIG SPENDER,14145.0
1325,8,210,4190.999999999999,4,4,4,444,12,STARS,14146.0
1326,77,5,483.4,2,1,2,212,5,REGULARS,14147.0
1327,233,3,157.2,1,1,1,111,3,LOST,14148.0
1328,220,28,446.62000000000006,1,2,2,122,5,LOST,14149.0
1329,35,26,658.6400000000001,3,2,3,323,8,REGULARS,14150.0
1330,74,49,621.2900000000002,2,3,2,232,7,REGULARS,14152.0
1331,238,52,1345.6200000000003,1,3,3,133,7,LOST,14154.0
1332,265,6,118.75,1,1,1,111,3,LOST,14155.0
1334,19,48,432.88000000000017,3,3,2,332,8,REGULARS,14157.0
1335,39,41,507.66000000000014,3,3,2,332,8,REGULARS,14158.0
1337,215,108,1110.52,1,4,3,143,8,LOYAL,14161.0
1338,173,25,289.36000000000007,1,2,1,121,4,LOST,14162.0
1339,86,52,2445.9100000000008,2,3,4,234,9,BIG SPENDER,14163.0
1340,70,29,1631.7700000000002,2,2,4,224,8,BIG SPENDER,14164.0
1341,275,25,122.53999999999999,1,2,1,121,4,LOST,14165.0
1342,38,52,574.8399999999999,3,3,2,332,8,REGULARS,14167.0
1343,97,58,363.78999999999996,2,3,2,232,7,REGULARS,14171.0
1344,10,29,450.84000000000003,4,2,2,422,8,ACTIVE,14173.0
1345,32,26,134.46,3,2,1,321,6,LIGHT,14174.0
1346,59,149,3222.3000000000006,2,4,4,244,10,BIG SPENDER,14175.0
1347,296,31,576.9,1,2,2,122,5,LOST,14176.0
1348,85,42,559.4100000000001,2,3,2,232,7,REGULARS,14177.0
1349,8,327,1620.93,4,4,4,444,12,STARS,14178.0
1350,40,165,719.7799999999997,3,4,3,343,10,LOYAL,14179.0
1351,10,240,4748.519999999998,4,4,4,444,12,STARS,14180.0
1352,66,24,452.89,2,2,2,222,6,REGULARS,14184.0
1353,330,3,197.65,1,1,1,111,3,LOST,14185.0
1354,30,65,2054.3599999999997,3,3,4,334,10,BIG SPENDER,14188.0
1355,1,265,4654.079999999998,4,4,4,444,12,STARS,14189.0
1356,1,259,4684.760000000001,4,4,4,444,12,STARS,14191.0
1357,67,42,853.3900000000001,2,3,3,233,8,REGULARS,14193.0
1358,4,579,11349.519999999986,4,4,4,444,12,STARS,14194.0
1359,201,7,1011.9999999999998,1,1,3,113,5,LOST,14195.0
1360,106,6,335.52,2,1,2,212,5,REGULARS,14196.0
1361,17,39,701.3999999999999,4,2,3,423,9,ACTIVE,14198.0
1362,217,2,185.39999999999998,1,1,1,111,3,LOST,14199.0
1363,59,37,747.4399999999999,2,2,3,223,7,REGULARS,14201.0
1364,1,44,161.02999999999997,4,3,1,431,8,ACTIVE,14204.0
